epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,122.344,1.51758,9.2373,1.49229,0.54014,0.26485,0.411,0.32064,1.62955,11.8321,1.57769,0.080837,9.62963e-05,9.62963e-05
2,321.336,1.30544,6.594,1.32897,0.75756,0.23844,0.40182,0.32484,1.40083,7.68515,1.3549,0.0609361,0.000195325,0.000195325
3,582.232,1.24902,6.04349,1.32134,0.69281,0.22767,0.45641,0.38282,1.23595,6.33092,1.30949,0.0410341,0.000293363,0.000293363
4,799.972,1.23479,5.9186,1.31229,0.54087,0.25494,0.41037,0.35996,1.19352,6.07515,1.30582,0.0211312,0.000390411,0.000390411
5,1125.41,1.23531,5.73836,1.30386,0.84081,0.24758,0.41698,0.3653,1.23515,5.60672,1.27429,0.00122721,0.00048647,0.00048647
6,1414.98,1.23794,5.66901,1.31463,0.63643,0.25515,0.40392,0.34768,1.24894,5.50335,1.30967,0.000487625,0.000487625,0.000487625
7,1766.03,1.18491,5.41101,1.28753,0.51619,0.23426,0.38871,0.3428,1.16021,5.03551,1.24121,0.00048515,0.00048515,0.00048515
8,2143.12,1.18883,5.17537,1.26491,0.32235,0.11255,0.20716,0.17783,1.11883,4.87418,1.22781,0.000482675,0.000482675,0.000482675
9,2455.75,1.13014,4.9428,1.22866,0.55985,0.18637,0.38426,0.3354,1.17198,4.7749,1.23197,0.0004802,0.0004802,0.0004802
10,2766.05,1.17646,4.9812,1.25767,0.61833,0.28445,0.4408,0.36678,1.21681,5.00493,1.26948,0.000477725,0.000477725,0.000477725
11,3069.68,1.13708,4.80388,1.24169,0.45778,0.16118,0.30677,0.23572,1.10999,5.08209,1.25022,0.00047525,0.00047525,0.00047525
12,3510.71,1.11401,4.82656,1.22613,0.5615,0.17478,0.34469,0.30086,1.19304,5.41605,1.27594,0.000472775,0.000472775,0.000472775
13,3916.21,1.11219,4.62409,1.21082,0.34368,0.12891,0.2174,0.18191,1.18799,5.67783,1.26605,0.0004703,0.0004703,0.0004703
14,4223.07,1.07755,4.54771,1.18527,0.61912,0.2521,0.39963,0.3305,1.15697,5.62273,1.28868,0.000467825,0.000467825,0.000467825
15,4423.31,1.07465,4.53321,1.17675,0.50077,0.27721,0.39604,0.32302,1.09459,5.56265,1.22504,0.00046535,0.00046535,0.00046535
16,4631.77,1.08021,4.45745,1.19095,0.77954,0.46161,0.54591,0.43809,1.10474,5.02037,1.2463,0.000462875,0.000462875,0.000462875
17,4892.29,1.06056,4.3167,1.17732,0.58272,0.2133,0.41986,0.33245,1.07228,5.52496,1.23161,0.0004604,0.0004604,0.0004604
18,5135.88,1.01825,4.03327,1.15769,0.63008,0.36822,0.49331,0.38487,1.14663,4.92402,1.25302,0.000457925,0.000457925,0.000457925
19,5362.99,1.02366,4.09797,1.16011,0.61199,0.24733,0.43021,0.35609,1.17294,4.69839,1.25974,0.00045545,0.00045545,0.00045545
20,5605.18,1.01264,4.01027,1.15028,0.65909,0.51521,0.55892,0.45606,1.07598,5.02234,1.24257,0.000452975,0.000452975,0.000452975
21,5863.98,1.0343,3.96881,1.18422,0.57674,0.43033,0.4834,0.3926,1.27128,5.04751,1.31631,0.0004505,0.0004505,0.0004505
22,6126.4,1.02216,4.14139,1.16317,0.73476,0.46355,0.50024,0.40127,1.19796,5.51337,1.2705,0.000448025,0.000448025,0.000448025
23,6387.07,1.00676,3.87045,1.15958,0.64127,0.45564,0.51179,0.40885,1.2083,5.0243,1.27647,0.00044555,0.00044555,0.00044555
24,6694.82,1.02714,4.06717,1.17986,0.69527,0.34397,0.47813,0.38963,1.04234,5.10765,1.17707,0.000443075,0.000443075,0.000443075
25,6947.08,1.01492,3.87304,1.13083,0.68686,0.60913,0.60789,0.49037,1.05511,4.96574,1.16108,0.0004406,0.0004406,0.0004406
26,7221.48,1.02808,3.9346,1.14897,0.55488,0.17963,0.34512,0.28999,1.0715,5.49425,1.2257,0.000438125,0.000438125,0.000438125
27,7476.58,0.98628,3.84129,1.14409,0.56438,0.29272,0.41741,0.32192,1.18621,5.09618,1.30419,0.00043565,0.00043565,0.00043565
28,7750.21,0.97722,3.69652,1.12385,0.591,0.24188,0.404,0.32746,1.11753,5.49469,1.24451,0.000433175,0.000433175,0.000433175
29,8044.79,0.96828,3.6487,1.14467,0.65834,0.39578,0.47963,0.38246,1.14378,5.41959,1.23466,0.0004307,0.0004307,0.0004307
30,8362.4,1.02622,3.80776,1.15316,0.7237,0.55252,0.55859,0.45581,1.08608,5.61955,1.23838,0.000428225,0.000428225,0.000428225
31,8653.84,1.00551,3.72249,1.1506,0.57841,0.52483,0.54318,0.44051,1.13842,5.29608,1.22681,0.00042575,0.00042575,0.00042575
32,8916.24,0.99227,3.59886,1.12518,0.51354,0.17478,0.36076,0.31896,1.04989,5.37404,1.20056,0.000423275,0.000423275,0.000423275
33,125.805,1.2034,5.05666,1.31572,0.56598,0.50197,0.50975,0.43365,1.3263,6.71044,1.59553,0.0004208,0.0004208,0.0004208
34,272.156,1.14069,4.51377,1.28231,0.49653,0.45673,0.47841,0.39265,1.35441,6.08263,1.45529,0.000418325,0.000418325,0.000418325
35,480.332,1.13871,4.34529,1.28227,0.58139,0.39275,0.46753,0.38665,1.3947,6.21111,1.45894,0.00041585,0.00041585,0.00041585
36,699.26,1.07975,4.12673,1.2406,0.60174,0.42812,0.48929,0.39763,1.26359,5.50914,1.33118,0.000413375,0.000413375,0.000413375
37,928.872,1.06054,3.95309,1.24064,0.65138,0.3875,0.4895,0.4107,1.21635,5.09639,1.26794,0.0004109,0.0004109,0.0004109
38,1143.63,1.06781,3.95204,1.24401,0.70281,0.56595,0.6073,0.51065,1.10081,5.36604,1.23912,0.000408425,0.000408425,0.000408425
39,1422.63,1.04599,3.70607,1.21161,0.61835,0.33703,0.44677,0.38324,1.17363,6.01479,1.28428,0.00040595,0.00040595,0.00040595
40,1729.66,0.99435,3.61263,1.17635,0.59346,0.56082,0.55848,0.46583,1.19229,6.15257,1.31683,0.000403475,0.000403475,0.000403475
41,2036.47,1.00988,3.70512,1.20376,0.59289,0.4754,0.52162,0.41005,1.29187,5.72543,1.34657,0.000401,0.000401,0.000401
42,2407.41,1.00966,3.54623,1.19762,0.5,0.25642,0.33214,0.24778,1.13688,5.19277,1.26631,0.000398525,0.000398525,0.000398525
43,2766.86,0.94877,3.43171,1.1559,0.65887,0.34856,0.50788,0.41676,1.13772,5.26286,1.27225,0.00039605,0.00039605,0.00039605
44,3112.78,0.93335,3.42854,1.14286,0.62335,0.47915,0.52469,0.44589,1.31675,5.76703,1.356,0.000393575,0.000393575,0.000393575
45,3557.59,0.99597,3.57014,1.1802,0.58967,0.33604,0.43762,0.37056,1.38566,5.57185,1.3988,0.0003911,0.0003911,0.0003911
46,4074.01,0.93314,3.4504,1.14007,0.66219,0.45996,0.52508,0.43193,1.31097,5.19215,1.3767,0.000388625,0.000388625,0.000388625
47,4574.28,0.94143,3.40067,1.13306,0.66919,0.58854,0.6045,0.47492,1.35738,5.70755,1.38475,0.00038615,0.00038615,0.00038615
48,4927.62,0.92988,3.22789,1.13007,0.6754,0.44037,0.53496,0.42714,1.25733,5.27326,1.31249,0.000383675,0.000383675,0.000383675
49,5226.33,0.94015,3.2704,1.13338,0.6774,0.54633,0.56906,0.45525,1.33077,5.03649,1.35209,0.0003812,0.0003812,0.0003812
50,5560.76,0.93545,3.24174,1.12398,0.60871,0.56398,0.57116,0.46011,1.3466,5.8731,1.36684,0.000378725,0.000378725,0.000378725
51,5900.49,0.91202,3.22382,1.13642,0.67061,0.64657,0.62673,0.49403,1.31336,5.4021,1.35154,0.00037625,0.00037625,0.00037625
52,6277.29,0.90395,3.11681,1.13165,0.75294,0.68717,0.6606,0.52157,1.26557,5.01532,1.32781,0.000373775,0.000373775,0.000373775
53,6757.16,0.91308,3.26752,1.12724,0.71337,0.39661,0.48637,0.38881,1.24455,5.20132,1.33625,0.0003713,0.0003713,0.0003713
54,7235.91,0.9334,3.20807,1.14677,0.78233,0.37172,0.46965,0.37102,1.28512,5.53386,1.3256,0.000368825,0.000368825,0.000368825
55,7784.28,0.92977,3.25914,1.11692,0.67767,0.66255,0.59599,0.46192,1.27298,5.29396,1.31413,0.00036635,0.00036635,0.00036635
56,8336.5,0.93823,3.16439,1.14988,0.70108,0.53431,0.55903,0.43971,1.22458,5.38568,1.30384,0.000363875,0.000363875,0.000363875
57,8977.88,0.90761,3.12034,1.11189,0.7261,0.67912,0.63944,0.50811,1.2356,5.48501,1.29439,0.0003614,0.0003614,0.0003614
58,9573.41,0.88748,3.01939,1.1092,0.58833,0.40668,0.47531,0.39295,1.21644,5.59036,1.28898,0.000358925,0.000358925,0.000358925
59,10184.7,0.91177,3.1208,1.13955,0.63743,0.7004,0.63691,0.51537,1.18482,5.68875,1.27496,0.00035645,0.00035645,0.00035645
60,10824.2,0.94142,3.2253,1.13704,0.61867,0.5966,0.5874,0.46614,1.27997,5.96213,1.33376,0.000353975,0.000353975,0.000353975
61,11492.9,0.89606,2.97189,1.11617,0.7202,0.68068,0.67347,0.51974,1.16717,5.1928,1.27318,0.0003515,0.0003515,0.0003515
62,12354.9,0.89061,3.08147,1.10601,0.72408,0.66726,0.63278,0.4904,1.17079,5.1867,1.26053,0.000349025,0.000349025,0.000349025
63,13343.1,0.91128,3.06542,1.11333,0.71886,0.53747,0.58614,0.49387,1.19398,4.94876,1.29014,0.00034655,0.00034655,0.00034655
64,14325.3,0.90504,3.01408,1.09429,0.58693,0.32425,0.42199,0.36263,1.23825,5.30711,1.30224,0.000344075,0.000344075,0.000344075
